"ndc","type","detail","Created_date"
"2241","onkz","Siegburg","2018-03-08T12:14:34.847Z"
"2242","onkz","Hennef Sieg","2018-03-08T12:14:34.847Z"
"2243","onkz","Eitorf","2018-03-08T12:14:34.847Z"
"2244","onkz","Königswinter-Oberpleis","2018-03-08T12:14:34.847Z"
"2245","onkz","Much","2018-03-08T12:14:34.847Z"
"2246","onkz","Lohmar Rheinland","2018-03-08T12:14:34.847Z"
"2247","onkz","Neunkirchen-Seelscheid","2018-03-08T12:14:34.847Z"
"2248","onkz","Hennef-Uckerath","2018-03-08T12:14:34.847Z"
"2251","onkz","Euskirchen","2018-03-08T12:14:34.847Z"
"2252","onkz","Zülpich","2018-03-08T12:14:34.847Z"
"2253","onkz","Bad Münstereifel","2018-03-08T12:14:34.847Z"
"2254","onkz","Weilerswist","2018-03-08T12:14:34.847Z"
"2255","onkz","Euskirchen-Flamersheim","2018-03-08T12:14:34.847Z"
"2256","onkz","Mechernich-Satzvey","2018-03-08T12:14:34.847Z"
"2257","onkz","Reckerscheid","2018-03-08T12:14:34.847Z"
"2261","onkz","Gummersbach","2018-03-08T12:14:34.847Z"
"2262","onkz","Wiehl","2018-03-08T12:14:34.847Z"
"2263","onkz","Engelskirchen","2018-03-08T12:14:34.847Z"
"2264","onkz","Marienheide","2018-03-08T12:14:34.847Z"
"2265","onkz","Reichshof-Eckenhagen","2018-03-08T12:14:34.847Z"
"2266","onkz","Lindlar","2018-03-08T12:14:34.847Z"
"2267","onkz","Wipperfürth","2018-03-08T12:14:34.847Z"
"2268","onkz","Kürten","2018-03-08T12:14:34.847Z"
"2269","onkz","Kierspe-Rönsahl","2018-03-08T12:14:34.847Z"
"2271","onkz","Bergheim Erft","2018-03-08T12:14:34.847Z"
"2272","onkz","Bedburg Erft","2018-03-08T12:14:34.847Z"
"2273","onkz","Kerpen-Horrem","2018-03-08T12:14:34.847Z"
"2274","onkz","Elsdorf Rheinl","2018-03-08T12:14:34.847Z"
"2275","onkz","Kerpen-Buir","2018-03-08T12:14:34.847Z"
"228","onkz","Bonn","2018-03-08T12:14:34.847Z"
"2291","onkz","Waldbröl","2018-03-08T12:14:34.847Z"
"2292","onkz","Windeck Sieg","2018-03-08T12:14:34.847Z"
"2293","onkz","Nümbrecht","2018-03-08T12:14:34.847Z"
"2294","onkz","Morsbach Sieg","2018-03-08T12:14:34.847Z"
"2295","onkz","Ruppichteroth","2018-03-08T12:14:34.847Z"
"2296","onkz","Reichshof-Brüchermühle","2018-03-08T12:14:34.847Z"
"2297","onkz","Wildbergerhütte","2018-03-08T12:14:34.847Z"
"2301","onkz","Holzwickede","2018-03-08T12:14:34.847Z"
"2302","onkz","Witten","2018-03-08T12:14:34.847Z"
"2303","onkz","Unna","2018-03-08T12:14:34.847Z"
"2304","onkz","Schwerte","2018-03-08T12:14:34.847Z"
"2305","onkz","Castrop-Rauxel","2018-03-08T12:14:34.847Z"
"2306","onkz","Lünen","2018-03-08T12:14:34.847Z"
"2307","onkz","Kamen","2018-03-08T12:14:34.847Z"
"2308","onkz","Unna-Hemmerde","2018-03-08T12:14:34.847Z"
"2309","onkz","Waltrop","2018-03-08T12:14:34.847Z"
"231","onkz","Dortmund","2018-03-08T12:14:34.847Z"
"2323","onkz","Herne","2018-03-08T12:14:34.847Z"
"2324","onkz","Hattingen Ruhr","2018-03-08T12:14:34.847Z"
"2325","onkz","Wanne-Eickel","2018-03-08T12:14:34.847Z"
"2327","onkz","Bochum-Wattenscheid","2018-03-08T12:14:34.847Z"
"2330","onkz","Herdecke","2018-03-08T12:14:34.847Z"
"2331","onkz","Hagen Westf","2018-03-08T12:14:34.847Z"
"2332","onkz","Gevelsberg","2018-03-08T12:14:34.847Z"
"2333","onkz","Ennepetal","2018-03-08T12:14:34.847Z"
"2334","onkz","Hagen-Hohenlimburg","2018-03-08T12:14:34.847Z"
"2335","onkz","Wetter Ruhr","2018-03-08T12:14:34.847Z"
"2336","onkz","Schwelm","2018-03-08T12:14:34.847Z"
"2337","onkz","Hagen-Dahl","2018-03-08T12:14:34.847Z"
"2338","onkz","Breckerfeld","2018-03-08T12:14:34.847Z"
"2339","onkz","Sprockhövel-Haßlinghausen","2018-03-08T12:14:34.847Z"
"234","onkz","Bochum","2018-03-08T12:14:34.847Z"
"2351","onkz","Lüdenscheid","2018-03-08T12:14:34.847Z"
"2352","onkz","Altena Westf","2018-03-08T12:14:34.847Z"
"2353","onkz","Halver","2018-03-08T12:14:34.847Z"
"2354","onkz","Meinerzhagen","2018-03-08T12:14:34.847Z"
"2355","onkz","Schalksmühle","2018-03-08T12:14:34.847Z"
"2357","onkz","Herscheid Westf","2018-03-08T12:14:34.847Z"
"2358","onkz","Meinerzhagen-Valbert","2018-03-08T12:14:34.847Z"
"2359","onkz","Kierspe","2018-03-08T12:14:34.847Z"
"2360","onkz","Haltern-Lippramsdorf","2018-03-08T12:14:34.847Z"
"2361","onkz","Recklinghausen","2018-03-08T12:14:34.847Z"
"2362","onkz","Dorsten","2018-03-08T12:14:34.847Z"
"2363","onkz","Datteln","2018-03-08T12:14:34.847Z"
"2364","onkz","Haltern Westf","2018-03-08T12:14:34.847Z"
"2365","onkz","Marl","2018-03-08T12:14:34.847Z"
"2366","onkz","Herten Westf","2018-03-08T12:14:34.847Z"
"2367","onkz","Henrichenburg","2018-03-08T12:14:34.847Z"
"2368","onkz","Oer-Erkenschwick","2018-03-08T12:14:34.847Z"
"2369","onkz","Dorsten-Wulfen","2018-03-08T12:14:34.847Z"
"2371","onkz","Iserlohn","2018-03-08T12:14:34.847Z"
"2372","onkz","Hemer","2018-03-08T12:14:34.847Z"
"2373","onkz","Menden Sauerland","2018-03-08T12:14:34.847Z"
"2374","onkz","Iserlohn-Letmathe","2018-03-08T12:14:34.847Z"
"2375","onkz","Balve","2018-03-08T12:14:34.847Z"
"2377","onkz","Wickede Ruhr","2018-03-08T12:14:34.847Z"
"2378","onkz","Fröndenberg-Langschede","2018-03-08T12:14:34.847Z"
"2379","onkz","Menden-Asbeck","2018-03-08T12:14:34.847Z"
"2381","onkz","Hamm Westf","2018-03-08T12:14:34.847Z"
"2382","onkz","Ahlen Westf","2018-03-08T12:14:34.847Z"
"2383","onkz","Bönen","2018-03-08T12:14:34.847Z"
"2384","onkz","Welver","2018-03-08T12:14:34.847Z"
"2385","onkz","Hamm-Rhynern","2018-03-08T12:14:34.847Z"
"2387","onkz","Drensteinfurt-Walstedde","2018-03-08T12:14:34.847Z"
"2388","onkz","Hamm-Uentrop","2018-03-08T12:14:34.847Z"
"2389","onkz","Werne","2018-03-08T12:14:34.847Z"
"2391","onkz","Plettenberg","2018-03-08T12:14:34.847Z"
"2392","onkz","Werdohl","2018-03-08T12:14:34.847Z"
"2393","onkz","Sundern-Allendorf","2018-03-08T12:14:34.847Z"
"2394","onkz","Neuenrade-Affeln","2018-03-08T12:14:34.847Z"
"2395","onkz","Finnentrop-Rönkhausen","2018-03-08T12:14:34.847Z"
"2401","onkz","Baesweiler","2018-03-08T12:14:34.847Z"
"2402","onkz","Stolberg Rheinl","2018-03-08T12:14:34.847Z"
"2403","onkz","Eschweiler Rheinl","2018-03-08T12:14:34.847Z"
"2404","onkz","Alsdorf Rheinl","2018-03-08T12:14:34.847Z"
"2405","onkz","Würselen","2018-03-08T12:14:34.847Z"
"2406","onkz","Herzogenrath","2018-03-08T12:14:34.847Z"
"2407","onkz","Herzogenrath-Kohlscheid","2018-03-08T12:14:34.847Z"
"2408","onkz","Aachen-Kornelimünster","2018-03-08T12:14:34.847Z"
"2409","onkz","Stolberg-Gressenich","2018-03-08T12:14:34.847Z"
"241","onkz","Aachen","2018-03-08T12:14:34.847Z"
"2421","onkz","Düren","2018-03-08T12:14:34.847Z"
"2422","onkz","Kreuzau","2018-03-08T12:14:34.847Z"
"2423","onkz","Langerwehe","2018-03-08T12:14:34.847Z"
"2424","onkz","Vettweiss","2018-03-08T12:14:34.847Z"
"2425","onkz","Nideggen-Embken","2018-03-08T12:14:34.847Z"
"2426","onkz","Nörvenich","2018-03-08T12:14:34.847Z"
